risk_rank,store_id,product_id,product_name,category,supplier_id,supplier_name,quantity_on_hand,reorder_point,quantity_on_order,avg_daily_demand,days_of_stock_remaining,avg_actual_lead_time_days,calculated_on_time_rate,expected_replenishment_days,risk_score,is_out_of_stock,needs_reorder
1,S019,P0155,Groceries - Dairy #155,Groceries,SUP013,Supplier 13 Ltd,0.0,40.0,120.0,0.1,0.0,21.801136363636363,0.0,2180.1136363636365,2180.1136363636365,true,true
2,S014,P0050,Electronics - Tablets #50,Electronics,SUP013,Supplier 13 Ltd,0.0,6.0,18.0,0.0666666666666666,0.0,21.801136363636363,0.0,2180.1136363636365,2180.1136363636365,true,true
3,S020,P0163,Groceries - Meat #163,Groceries,SUP013,Supplier 13 Ltd,0.0,23.0,69.0,0.0666666666666666,0.0,21.801136363636363,0.0,2180.1136363636365,2180.1136363636365,true,true
4,S020,P0050,Electronics - Tablets #50,Electronics,SUP013,Supplier 13 Ltd,1.0,5.0,15.0,0.0666666666666666,15.000000000000016,21.801136363636363,0.0,2180.1136363636365,2165.1136363636365,false,true
5,S009,P0163,Groceries - Meat #163,Groceries,SUP013,Supplier 13 Ltd,4.0,38.0,114.0,0.1,40.0,21.801136363636363,0.0,2180.1136363636365,2140.1136363636365,false,true
6,S008,P0047,Electronics - Tablets #47,Electronics,SUP027,Supplier 27 Ltd,0.0,6.0,18.0,0.0333333333333333,0.0,21.058823529411764,0.0,2105.8823529411766,2105.8823529411766,true,true
7,S014,P0081,Apparel - Shoes #81,Apparel,SUP027,Supplier 27 Ltd,1.0,23.0,69.0,0.0666666666666666,15.000000000000016,21.058823529411764,0.0,2105.8823529411766,2090.8823529411766,false,true
8,S013,P0044,Electronics - Accessories #44,Electronics,SUP013,Supplier 13 Ltd,3.0,8.0,24.0,0.0333333333333333,90.0000000000001,21.801136363636363,0.0,2180.1136363636365,2090.1136363636365,false,true
9,S012,P0167,Groceries - Produce #167,Groceries,SUP001,Supplier 1 Ltd,0.0,25.0,75.0,0.1333333333333333,0.0,20.644736842105264,0.0,2064.4736842105262,2064.4736842105262,true,true
10,S009,P0001,Electronics - Laptops #1,Electronics,SUP001,Supplier 1 Ltd,0.0,7.0,21.0,0.0333333333333333,0.0,20.644736842105264,0.0,2064.4736842105262,2064.4736842105262,true,true
11,S019,P0163,Groceries - Meat #163,Groceries,SUP013,Supplier 13 Ltd,8.0,22.0,66.0,0.0666666666666666,120.00000000000013,21.801136363636363,0.0,2180.1136363636365,2060.1136363636365,false,true
12,S005,P0099,Apparel - Shoes #99,Apparel,SUP013,Supplier 13 Ltd,4.0,30.0,90.0,0.0333333333333333,120.00000000000013,21.801136363636363,0.0,2180.1136363636365,2060.1136363636365,false,true
13,S017,P0054,Apparel - Accessories #54,Apparel,SUP013,Supplier 13 Ltd,13.0,20.0,60.0,0.1,130.0,21.801136363636363,0.0,2180.1136363636365,2050.1136363636365,false,true
14,S012,P0081,Apparel - Shoes #81,Apparel,SUP027,Supplier 27 Ltd,6.0,16.0,48.0,0.1,60.0,21.058823529411764,0.0,2105.8823529411766,2045.8823529411766,false,true
15,S014,P0195,Groceries - Meat #195,Groceries,SUP006,Supplier 6 Ltd,0.0,26.0,78.0,0.1,0.0,20.391666666666666,0.0,2039.1666666666665,2039.1666666666665,true,true
16,S009,P0044,Electronics - Accessories #44,Electronics,SUP013,Supplier 13 Ltd,5.0,8.0,24.0,0.0333333333333333,150.00000000000017,21.801136363636363,0.0,2180.1136363636365,2030.1136363636363,false,true
17,S011,P0135,Home Goods - Kitchenware #135,Home Goods,SUP006,Supplier 6 Ltd,1.0,16.0,48.0,0.0666666666666666,15.000000000000016,20.391666666666666,0.0,2039.1666666666665,2024.1666666666665,false,true
18,S007,P0099,Apparel - Shoes #99,Apparel,SUP013,Supplier 13 Ltd,16.0,17.0,51.0,0.1,160.0,21.801136363636363,0.0,2180.1136363636365,2020.1136363636365,false,true
19,S007,P0063,Apparel - Shirts #63,Apparel,SUP028,Supplier 28 Ltd,0.0,20.0,60.0,0.0333333333333333,0.0,20.16793893129771,0.0,2016.7938931297708,2016.7938931297708,true,true
20,S007,P0176,Groceries - Packaged #176,Groceries,SUP027,Supplier 27 Ltd,3.0,32.0,96.0,0.0333333333333333,90.0000000000001,21.058823529411764,0.0,2105.8823529411766,2015.8823529411766,false,true
21,S012,P0028,Electronics - Tablets #28,Electronics,SUP027,Supplier 27 Ltd,3.0,9.0,27.0,0.0333333333333333,90.0000000000001,21.058823529411764,0.0,2105.8823529411766,2015.8823529411766,false,true
22,S011,P0176,Groceries - Packaged #176,Groceries,SUP027,Supplier 27 Ltd,3.0,25.0,75.0,0.0333333333333333,90.0000000000001,21.058823529411764,0.0,2105.8823529411766,2015.8823529411766,false,true
23,S012,P0017,Electronics - Tablets #17,Electronics,SUP005,Supplier 5 Ltd,0.0,6.0,18.0,0.1,0.0,20.15841584158416,0.0,2015.8415841584158,2015.8415841584158,true,true
24,S020,P0171,Groceries - Meat #171,Groceries,SUP005,Supplier 5 Ltd,0.0,26.0,78.0,0.0333333333333333,0.0,20.15841584158416,0.0,2015.8415841584158,2015.8415841584158,true,true
25,S003,P0037,Electronics - Tablets #37,Electronics,SUP006,Supplier 6 Ltd,1.0,9.0,27.0,0.0333333333333333,30.000000000000032,20.391666666666666,0.0,2039.1666666666665,2009.1666666666665,false,true
26,S012,P0129,Home Goods - Bedding #129,Home Goods,SUP006,Supplier 6 Ltd,1.0,19.0,57.0,0.0333333333333333,30.000000000000032,20.391666666666666,0.0,2039.1666666666665,2009.1666666666665,false,true
27,S020,P0034,Electronics - Phones #34,Electronics,SUP028,Supplier 28 Ltd,1.0,9.0,27.0,0.0666666666666666,15.000000000000016,20.16793893129771,0.0,2016.7938931297708,2001.7938931297708,false,true
28,S017,P0163,Groceries - Meat #163,Groceries,SUP013,Supplier 13 Ltd,12.0,20.0,60.0,0.0666666666666666,180.0000000000002,21.801136363636363,0.0,2180.1136363636365,2000.1136363636363,false,true
29,S018,P0193,Groceries - Produce #193,Groceries,SUP011,Supplier 11 Ltd,4.0,27.0,81.0,0.1,40.0,20.4,0.0,2039.9999999999998,1999.9999999999998,false,true
30,S008,P0175,Groceries - Meat #175,Groceries,SUP006,Supplier 6 Ltd,4.0,40.0,120.0,0.1,40.0,20.391666666666666,0.0,2039.1666666666665,1999.1666666666665,false,true
31,S015,P0018,Electronics - Phones #18,Electronics,SUP025,Supplier 25 Ltd,10.0,6.0,0.0,0.1,100.0,20.95,0.0,2095.0,1995.0,false,false
32,S013,P0092,Apparel - Accessories #92,Apparel,SUP027,Supplier 27 Ltd,4.0,15.0,45.0,0.0333333333333333,120.00000000000013,21.058823529411764,0.0,2105.8823529411766,1985.8823529411764,false,true
33,S016,P0056,Apparel - Shoes #56,Apparel,SUP005,Supplier 5 Ltd,5.0,30.0,90.0,0.1,50.0,20.15841584158416,0.0,2015.8415841584158,1965.8415841584158,false,true
34,S014,P0193,Groceries - Produce #193,Groceries,SUP011,Supplier 11 Ltd,8.0,29.0,87.0,0.1,80.0,20.4,0.0,2039.9999999999998,1959.9999999999998,false,true
35,S005,P0110,Home Goods - Furniture #110,Home Goods,SUP028,Supplier 28 Ltd,4.0,20.0,60.0,0.0666666666666666,60.000000000000064,20.16793893129771,0.0,2016.7938931297708,1956.7938931297708,false,true
36,S011,P0193,Groceries - Produce #193,Groceries,SUP011,Supplier 11 Ltd,3.0,32.0,96.0,0.0333333333333333,90.0000000000001,20.4,0.0,2039.9999999999998,1949.9999999999998,false,true
37,S006,P0135,Home Goods - Kitchenware #135,Home Goods,SUP006,Supplier 6 Ltd,3.0,17.0,51.0,0.0333333333333333,90.0000000000001,20.391666666666666,0.0,2039.1666666666665,1949.1666666666665,false,true
38,S007,P0094,Apparel - Pants #94,Apparel,SUP005,Supplier 5 Ltd,7.0,26.0,78.0,0.1,70.0,20.15841584158416,0.0,2015.8415841584158,1945.8415841584158,false,true
39,S016,P0014,Electronics - Laptops #14,Electronics,SUP025,Supplier 25 Ltd,5.0,5.0,15.0,0.0333333333333333,150.00000000000017,20.95,0.0,2095.0,1944.9999999999998,false,true
40,S006,P0163,Groceries - Meat #163,Groceries,SUP013,Supplier 13 Ltd,27.0,31.0,93.0,0.1,270.0,21.801136363636363,0.0,2180.1136363636365,1910.1136363636365,false,true
41,S017,P0066,Apparel - Accessories #66,Apparel,SUP020,Supplier 20 Ltd,0.0,19.0,57.0,0.0333333333333333,0.0,19.015544041450777,0.0,1901.5544041450778,1901.5544041450778,true,true
42,S005,P0177,Groceries - Meat #177,Groceries,SUP020,Supplier 20 Ltd,0.0,33.0,99.0,0.1,0.0,19.015544041450777,0.0,1901.5544041450778,1901.5544041450778,true,true
43,S003,P0158,Groceries - Produce #158,Groceries,SUP020,Supplier 20 Ltd,0.0,28.0,84.0,0.0666666666666666,0.0,19.015544041450777,0.0,1901.5544041450778,1901.5544041450778,true,true
44,S012,P0018,Electronics - Phones #18,Electronics,SUP025,Supplier 25 Ltd,13.0,5.0,0.0,0.0666666666666666,195.0000000000002,20.95,0.0,2095.0,1899.9999999999998,false,false
45,S001,P0110,Home Goods - Furniture #110,Home Goods,SUP028,Supplier 28 Ltd,12.0,19.0,57.0,0.1,120.0,20.16793893129771,0.0,2016.7938931297708,1896.7938931297708,false,true
46,S002,P0171,Groceries - Meat #171,Groceries,SUP005,Supplier 5 Ltd,4.0,23.0,69.0,0.0333333333333333,120.00000000000013,20.15841584158416,0.0,2015.8415841584158,1895.8415841584156,false,true
47,S003,P0054,Apparel - Accessories #54,Apparel,SUP013,Supplier 13 Ltd,19.0,23.0,69.0,0.0666666666666666,285.0000000000003,21.801136363636363,0.0,2180.1136363636365,1895.1136363636363,false,true
48,S010,P0068,Apparel - Accessories #68,Apparel,SUP020,Supplier 20 Ltd,1.0,22.0,66.0,0.1,10.0,19.015544041450777,0.0,1901.5544041450778,1891.5544041450778,false,true
49,S004,P0016,Electronics - Accessories #16,Electronics,SUP011,Supplier 11 Ltd,15.0,8.0,0.0,0.1,150.0,20.4,0.0,2039.9999999999998,1889.9999999999998,false,false
50,S016,P0175,Groceries - Meat #175,Groceries,SUP006,Supplier 6 Ltd,5.0,25.0,75.0,0.0333333333333333,150.00000000000017,20.391666666666666,0.0,2039.1666666666665,1889.1666666666663,false,true
51,S013,P0001,Electronics - Laptops #1,Electronics,SUP001,Supplier 1 Ltd,6.0,10.0,30.0,0.0333333333333333,180.0000000000002,20.644736842105264,0.0,2064.4736842105262,1884.473684210526,false,true
52,S003,P0020,Electronics - Laptops #20,Electronics,SUP013,Supplier 13 Ltd,10.0,5.0,0.0,0.0333333333333333,300.00000000000034,21.801136363636363,0.0,2180.1136363636365,1880.113636363636,false,false
53,S009,P0083,Apparel - Shoes #83,Apparel,SUP025,Supplier 25 Ltd,22.0,17.0,0.0,0.1,220.0,20.95,0.0,2095.0,1875.0,false,false
54,S006,P0177,Groceries - Meat #177,Groceries,SUP020,Supplier 20 Ltd,3.0,20.0,60.0,0.1,30.0,19.015544041450777,0.0,1901.5544041450778,1871.5544041450778,false,true
55,S001,P0066,Apparel - Accessories #66,Apparel,SUP020,Supplier 20 Ltd,1.0,17.0,51.0,0.0333333333333333,30.000000000000032,19.015544041450777,0.0,1901.5544041450778,1871.5544041450778,false,true
56,S016,P0195,Groceries - Meat #195,Groceries,SUP006,Supplier 6 Ltd,17.0,40.0,120.0,0.1,170.0,20.391666666666666,0.0,2039.1666666666665,1869.1666666666665,false,true
57,S002,P0094,Apparel - Pants #94,Apparel,SUP005,Supplier 5 Ltd,15.0,15.0,45.0,0.1,150.0,20.15841584158416,0.0,2015.8415841584158,1865.8415841584158,false,true
58,S017,P0094,Apparel - Pants #94,Apparel,SUP005,Supplier 5 Ltd,5.0,15.0,45.0,0.0333333333333333,150.00000000000017,20.15841584158416,0.0,2015.8415841584158,1865.8415841584156,false,true
59,S009,P0171,Groceries - Meat #171,Groceries,SUP005,Supplier 5 Ltd,10.0,23.0,69.0,0.0666666666666666,150.00000000000017,20.15841584158416,0.0,2015.8415841584158,1865.8415841584156,false,true
60,S015,P0007,Electronics - Laptops #7,Electronics,SUP003,Supplier 3 Ltd,0.0,5.0,15.0,0.1,0.0,18.6242774566474,0.0,1862.4277456647399,1862.4277456647399,true,true
61,S008,P0153,Groceries - Dairy #153,Groceries,SUP003,Supplier 3 Ltd,0.0,32.0,96.0,0.0666666666666666,0.0,18.6242774566474,0.0,1862.4277456647399,1862.4277456647399,true,true
62,S019,P0190,Groceries - Produce #190,Groceries,SUP003,Supplier 3 Ltd,0.0,36.0,108.0,0.1666666666666666,0.0,18.6242774566474,0.0,1862.4277456647399,1862.4277456647399,true,true
63,S014,P0091,Apparel - Shirts #91,Apparel,SUP003,Supplier 3 Ltd,0.0,17.0,51.0,0.0333333333333333,0.0,18.6242774566474,0.0,1862.4277456647399,1862.4277456647399,true,true
64,S006,P0062,Apparel - Accessories #62,Apparel,SUP003,Supplier 3 Ltd,0.0,30.0,90.0,0.0666666666666666,0.0,18.6242774566474,0.0,1862.4277456647399,1862.4277456647399,true,true
65,S019,P0018,Electronics - Phones #18,Electronics,SUP025,Supplier 25 Ltd,8.0,7.0,0.0,0.0333333333333333,240.00000000000026,20.95,0.0,2095.0,1854.9999999999998,false,false
66,S014,P0191,Groceries - Packaged #191,Groceries,SUP027,Supplier 27 Ltd,17.0,21.0,63.0,0.0666666666666666,255.00000000000026,21.058823529411764,0.0,2105.8823529411766,1850.8823529411764,false,true
67,S005,P0035,Electronics - Laptops #35,Electronics,SUP013,Supplier 13 Ltd,11.0,6.0,0.0,0.0333333333333333,330.00000000000034,21.801136363636363,0.0,2180.1136363636365,1850.113636363636,false,false
68,S008,P0193,Groceries - Produce #193,Groceries,SUP011,Supplier 11 Ltd,19.0,32.0,96.0,0.1,190.0,20.4,0.0,2039.9999999999998,1849.9999999999998,false,true
69,S014,P0007,Electronics - Laptops #7,Electronics,SUP003,Supplier 3 Ltd,2.0,9.0,27.0,0.1333333333333333,15.000000000000004,18.6242774566474,0.0,1862.4277456647399,1847.4277456647399,false,true
70,S005,P0022,Electronics - Tablets #22,Electronics,SUP020,Supplier 20 Ltd,2.0,6.0,18.0,0.0333333333333333,60.000000000000064,19.015544041450777,0.0,1901.5544041450778,1841.5544041450778,false,true
71,S016,P0140,Home Goods - Bedding #140,Home Goods,SUP001,Supplier 1 Ltd,15.0,20.0,60.0,0.0666666666666666,225.00000000000023,20.644736842105264,0.0,2064.4736842105262,1839.473684210526,false,true
72,S009,P0063,Apparel - Shirts #63,Apparel,SUP028,Supplier 28 Ltd,24.0,20.0,0.0,0.1333333333333333,180.00000000000003,20.16793893129771,0.0,2016.7938931297708,1836.7938931297708,false,false
73,S011,P0063,Apparel - Shirts #63,Apparel,SUP028,Supplier 28 Ltd,6.0,21.0,63.0,0.0333333333333333,180.0000000000002,20.16793893129771,0.0,2016.7938931297708,1836.7938931297706,false,true
74,S015,P0176,Groceries - Packaged #176,Groceries,SUP027,Supplier 27 Ltd,9.0,24.0,72.0,0.0333333333333333,270.0000000000003,21.058823529411764,0.0,2105.8823529411766,1835.8823529411764,false,true
75,S020,P0055,Apparel - Accessories #55,Apparel,SUP005,Supplier 5 Ltd,6.0,17.0,51.0,0.0333333333333333,180.0000000000002,20.15841584158416,0.0,2015.8415841584158,1835.8415841584156,false,true
76,S011,P0051,Apparel - Shoes #51,Apparel,SUP003,Supplier 3 Ltd,1.0,23.0,69.0,0.0333333333333333,30.000000000000032,18.6242774566474,0.0,1862.4277456647399,1832.4277456647399,false,true
77,S017,P0083,Apparel - Shoes #83,Apparel,SUP025,Supplier 25 Ltd,9.0,18.0,54.0,0.0333333333333333,270.0000000000003,20.95,0.0,2095.0,1824.9999999999998,false,true
78,S018,P0034,Electronics - Phones #34,Electronics,SUP028,Supplier 28 Ltd,13.0,10.0,0.0,0.0666666666666666,195.0000000000002,20.16793893129771,0.0,2016.7938931297708,1821.7938931297706,false,false
79,S004,P0195,Groceries - Meat #195,Groceries,SUP006,Supplier 6 Ltd,8.0,38.0,114.0,0.0333333333333333,240.00000000000026,20.391666666666666,0.0,2039.1666666666665,1799.1666666666663,false,true
80,S009,P0022,Electronics - Tablets #22,Electronics,SUP020,Supplier 20 Ltd,7.0,5.0,0.0,0.0666666666666666,105.00000000000011,19.015544041450777,0.0,1901.5544041450778,1796.5544041450776,false,false
81,S017,P0194,Groceries - Dairy #194,Groceries,SUP021,Supplier 21 Ltd,-1.0,29.0,87.0,0.0666666666666666,0.0,17.928571428571427,0.0,1792.8571428571427,1792.8571428571427,false,true
82,S001,P0017,Electronics - Tablets #17,Electronics,SUP005,Supplier 5 Ltd,15.0,7.0,0.0,0.0666666666666666,225.00000000000023,20.15841584158416,0.0,2015.8415841584158,1790.8415841584156,false,false
83,S002,P0066,Apparel - Accessories #66,Apparel,SUP020,Supplier 20 Ltd,16.0,18.0,54.0,0.1333333333333333,120.00000000000003,19.015544041450777,0.0,1901.5544041450778,1781.5544041450778,false,true
84,S011,P0168,Groceries - Packaged #168,Groceries,SUP020,Supplier 20 Ltd,4.0,27.0,81.0,0.0333333333333333,120.00000000000013,19.015544041450777,0.0,1901.5544041450778,1781.5544041450776,false,true
85,S005,P0159,Groceries - Produce #159,Groceries,SUP014,Supplier 14 Ltd,0.0,37.0,111.0,0.1,0.0,17.80952380952381,0.0,1780.952380952381,1780.952380952381,true,true
86,S012,P0194,Groceries - Dairy #194,Groceries,SUP021,Supplier 21 Ltd,1.0,26.0,78.0,0.0666666666666666,15.000000000000016,17.928571428571427,0.0,1792.8571428571427,1777.8571428571427,false,true
87,S017,P0191,Groceries - Packaged #191,Groceries,SUP027,Supplier 27 Ltd,33.0,24.0,0.0,0.1,330.0,21.058823529411764,0.0,2105.8823529411766,1775.8823529411766,false,false
88,S019,P0056,Apparel - Shoes #56,Apparel,SUP005,Supplier 5 Ltd,8.0,19.0,57.0,0.0333333333333333,240.00000000000026,20.15841584158416,0.0,2015.8415841584158,1775.8415841584156,false,true
89,S010,P0027,Electronics - Accessories #27,Electronics,SUP003,Supplier 3 Ltd,6.0,8.0,24.0,0.0666666666666666,90.0000000000001,18.6242774566474,0.0,1862.4277456647399,1772.4277456647399,false,true
90,S018,P0175,Groceries - Meat #175,Groceries,SUP006,Supplier 6 Ltd,18.0,24.0,72.0,0.0666666666666666,270.0000000000003,20.391666666666666,0.0,2039.1666666666665,1769.1666666666663,false,true
91,S020,P0063,Apparel - Shirts #63,Apparel,SUP028,Supplier 28 Ltd,25.0,15.0,0.0,0.1,250.0,20.16793893129771,0.0,2016.7938931297708,1766.7938931297708,false,false
