product_id,product_name,category,subcategory,unit_cost,unit_price,supplier_id,is_active
P0001,Electronics - Laptops #1,Electronics,Laptops,330.91,491.47,SUP001,True
P0002,Electronics - Tablets #2,Electronics,Tablets,498.99,622.14,SUP008,True
P0003,Electronics - Phones #3,Electronics,Phones,93.56,136.58,SUP005,True
P0004,Electronics - Laptops #4,Electronics,Laptops,581.05,700.85,SUP022,True
P0005,Electronics - Laptops #5,Electronics,Laptops,674.33,852.15,SUP019,True
P0006,Electronics - Accessories #6,Electronics,Accessories,187.55,242.18,SUP002,True
P0007,Electronics - Laptops #7,Electronics,Laptops,373.96,481.42,SUP003,True
P0008,Electronics - Phones #8,Electronics,Phones,154.62,199.1,SUP008,True
P0009,Electronics - Laptops #9,Electronics,Laptops,392.05,562.81,SUP018,True
P0010,Electronics - Phones #10,Electronics,Phones,435.68,600.25,SUP023,False
P0011,Electronics - Accessories #11,Electronics,Accessories,505.66,632.66,SUP008,True
P0012,Electronics - Accessories #12,Electronics,Accessories,761.66,1134.64,SUP019,True
P0013,Electronics - Tablets #13,Electronics,Tablets,278.46,342.31,SUP026,True
P0014,Electronics - Laptops #14,Electronics,Laptops,380.11,470.05,SUP025,True
P0015,Electronics - Phones #15,Electronics,Phones,75.79,111.62,SUP023,True
P0016,Electronics - Accessories #16,Electronics,Accessories,546.89,707.41,SUP011,True
P0017,Electronics - Tablets #17,Electronics,Tablets,460.03,577.55,SUP005,True
P0018,Electronics - Phones #18,Electronics,Phones,631.35,935.57,SUP025,True
P0019,Electronics - Tablets #19,Electronics,Tablets,498.42,735.95,SUP004,True
P0020,Electronics - Laptops #20,Electronics,Laptops,196.99,239.06,SUP013,True
P0021,Electronics - Laptops #21,Electronics,Laptops,341.51,437.61,SUP012,True
P0022,Electronics - Tablets #22,Electronics,Tablets,317.56,407.84,SUP020,True
P0023,Electronics - Tablets #23,Electronics,Tablets,155.69,224.3,SUP026,True
P0024,Electronics - Laptops #24,Electronics,Laptops,790.17,1131.27,SUP024,True
P0025,Electronics - Accessories #25,Electronics,Accessories,54.14,78.21,SUP018,True
P0026,Electronics - Laptops #26,Electronics,Laptops,596.76,854.19,SUP030,True
P0027,Electronics - Accessories #27,Electronics,Accessories,318.85,393.7,SUP003,True
P0028,Electronics - Tablets #28,Electronics,Tablets,517.47,672.33,SUP027,True
