shipment_id,order_date,expected_date,received_date,store_id,product_id,supplier_id,quantity_ordered,quantity_received,is_late
SHIP00001,2025-09-20,2025-10-10,2025-10-10,S001,P0001,SUP001,24,24,False
SHIP00002,2025-11-23,2025-12-04,2025-12-04,S001,P0002,SUP008,18,18,False
SHIP00003,2025-08-21,2025-09-04,2025-09-04,S001,P0004,SUP022,27,27,False
SHIP00004,2025-11-16,2025-11-20,2025-11-20,S001,P0005,SUP019,15,15,False
SHIP00005,2025-12-24,2026-01-04,2026-01-04,S001,P0008,SUP008,27,27,False
SHIP00006,2025-12-14,2025-12-25,2025-12-25,S001,P0011,SUP008,27,27,False
SHIP00007,2026-01-10,2026-01-27,2026-01-27,S001,P0013,SUP026,24,24,False
SHIP00008,2025-07-14,2025-08-03,2025-08-03,S001,P0014,SUP025,30,30,False
SHIP00009,2025-12-03,2025-12-07,2025-12-07,S001,P0015,SUP023,24,24,False
SHIP00010,2025-10-19,2025-11-08,2025-11-08,S001,P0016,SUP011,18,18,False
SHIP00011,2026-01-14,2026-02-03,2026-02-03,S001,P0018,SUP025,24,24,False
SHIP00012,2026-01-06,2026-01-15,2026-01-16,S001,P0019,SUP004,18,18,True
SHIP00013,2025-12-06,2025-12-27,2025-12-27,S001,P0020,SUP013,24,24,False
SHIP00014,2025-07-29,2025-08-10,2025-08-10,S001,P0021,SUP012,30,30,False
SHIP00015,2025-12-07,2025-12-25,2025-12-25,S001,P0022,SUP020,18,18,False
SHIP00016,2025-10-10,2025-10-27,2025-10-27,S001,P0023,SUP026,21,21,False
SHIP00017,2025-12-17,2026-01-01,2026-01-01,S001,P0024,SUP024,27,27,False
SHIP00018,2025-10-27,2025-11-08,2025-11-08,S001,P0025,SUP018,18,18,False
SHIP00019,2025-10-13,2025-10-27,2025-10-27,S001,P0026,SUP030,18,18,False
SHIP00020,2025-12-21,2026-01-08,2026-01-08,S001,P0027,SUP003,30,30,False
SHIP00021,2025-09-06,2025-09-26,2025-09-26,S001,P0028,SUP027,30,30,False
SHIP00022,2025-11-16,2025-11-20,2025-11-22,S001,P0030,SUP023,24,24,True
SHIP00023,2025-09-14,2025-09-27,2025-09-27,S001,P0031,SUP002,27,27,False
SHIP00024,2026-01-08,2026-01-28,2026-01-28,S001,P0032,SUP025,24,24,False
SHIP00025,2025-09-05,2025-09-25,2025-09-25,S001,P0034,SUP028,18,18,False
SHIP00026,2025-11-28,2025-12-12,2025-12-12,S001,P0036,SUP015,30,30,False
SHIP00027,2025-08-18,2025-09-07,2025-09-07,S001,P0037,SUP006,27,27,False
SHIP00028,2025-10-11,2025-10-23,2025-10-23,S001,P0038,SUP012,24,24,False
SHIP00029,2025-07-22,2025-08-05,2025-08-05,S001,P0039,SUP022,21,21,False
SHIP00030,2025-11-13,2025-11-17,2025-11-17,S001,P0040,SUP023,24,24,False
SHIP00031,2026-01-15,2026-02-02,2026-02-02,S001,P0041,SUP020,27,27,False
SHIP00032,2025-12-13,2025-12-25,2025-12-25,S001,P0042,SUP018,27,27,False
SHIP00033,2025-10-28,2025-11-18,2025-11-18,S001,P0044,SUP013,24,24,False
SHIP00034,2025-11-30,2025-12-14,2025-12-14,S001,P0045,SUP030,21,21,False
SHIP00035,2025-09-10,2025-09-30,2025-09-30,S001,P0047,SUP027,24,24,False
SHIP00036,2025-10-04,2025-10-15,2025-10-15,S001,P0048,SUP008,30,30,False
SHIP00037,2025-11-12,2025-11-29,2025-11-30,S001,P0049,SUP026,30,30,True
SHIP00038,2025-10-19,2025-11-09,2025-11-09,S001,P0050,SUP013,24,24,False
SHIP00039,2025-09-22,2025-10-10,2025-10-14,S001,P0051,SUP003,45,43,True
SHIP00040,2025-10-30,2025-11-13,2025-11-13,S001,P0052,SUP030,45,45,False
SHIP00041,2025-08-02,2025-08-18,2025-08-18,S001,P0053,SUP007,84,84,False
SHIP00042,2025-09-03,2025-09-24,2025-09-24,S001,P0054,SUP013,87,87,False
SHIP00043,2025-09-28,2025-10-18,2025-10-18,S001,P0055,SUP005,48,48,False
SHIP00044,2025-09-13,2025-10-03,2025-10-07,S001,P0056,SUP005,81,81,True
SHIP00045,2025-10-07,2025-10-22,2025-10-22,S001,P0057,SUP024,63,63,False
SHIP00046,2025-09-29,2025-10-14,2025-10-14,S001,P0058,SUP024,75,75,False
SHIP00047,2025-10-12,2025-10-28,2025-10-28,S001,P0059,SUP029,81,81,False
SHIP00048,2025-09-25,2025-10-07,2025-10-07,S001,P0060,SUP012,84,84,False
SHIP00049,2025-10-28,2025-11-17,2025-11-17,S001,P0061,SUP005,51,51,False
SHIP00050,2025-12-13,2025-12-31,2025-12-31,S001,P0062,SUP003,45,45,False
SHIP00051,2025-10-17,2025-11-06,2025-11-06,S001,P0064,SUP005,66,66,False
SHIP00052,2025-11-11,2025-11-28,2025-11-28,S001,P0065,SUP026,51,51,False
SHIP00053,2026-01-02,2026-01-20,2026-01-20,S001,P0066,SUP020,48,48,False
SHIP00054,2025-09-26,2025-10-14,2025-10-14,S001,P0068,SUP020,63,63,False
SHIP00055,2025-09-10,2025-09-25,2025-09-25,S001,P0069,SUP017,57,57,False
SHIP00056,2025-11-07,2025-11-19,2025-11-19,S001,P0070,SUP018,57,57,False
SHIP00057,2025-12-09,2025-12-23,2025-12-23,S001,P0071,SUP022,54,54,False
SHIP00058,2025-12-30,2026-01-13,2026-01-13,S001,P0072,SUP022,63,63,False
SHIP00059,2025-10-11,2025-10-31,2025-11-06,S001,P0073,SUP025,69,69,True
SHIP00060,2025-12-21,2025-12-30,2025-12-30,S001,P0074,SUP004,78,78,False
SHIP00061,2025-09-14,2025-10-01,2025-10-01,S001,P0075,SUP014,54,54,False
SHIP00062,2025-12-28,2026-01-11,2026-01-11,S001,P0076,SUP015,60,60,False
SHIP00063,2025-10-30,2025-11-14,2025-11-14,S001,P0077,SUP024,54,54,False
SHIP00064,2025-09-28,2025-10-13,2025-10-13,S001,P0079,SUP017,81,81,False
SHIP00065,2025-10-22,2025-11-11,2025-11-11,S001,P0080,SUP028,63,63,False
SHIP00066,2025-09-04,2025-09-24,2025-09-24,S001,P0081,SUP027,66,66,False
SHIP00067,2025-08-25,2025-09-14,2025-09-18,S001,P0082,SUP005,72,72,True
SHIP00068,2025-10-26,2025-11-15,2025-11-15,S001,P0083,SUP025,54,54,False
SHIP00069,2025-10-15,2025-11-02,2025-11-02,S001,P0085,SUP020,84,84,False
SHIP00070,2025-08-02,2025-08-11,2025-08-12,S001,P0087,SUP004,75,75,True
SHIP00071,2025-07-01,2025-07-17,2025-07-17,S001,P0088,SUP029,84,84,False
SHIP00072,2025-12-19,2025-12-30,2025-12-30,S001,P0089,SUP008,54,54,False
SHIP00073,2025-10-18,2025-10-29,2025-10-29,S001,P0090,SUP008,78,78,False
SHIP00074,2025-11-03,2025-11-21,2025-11-21,S001,P0091,SUP003,87,87,False
SHIP00075,2025-11-10,2025-11-30,2025-11-30,S001,P0093,SUP025,60,60,False
SHIP00076,2025-10-25,2025-11-06,2025-11-12,S001,P0095,SUP018,90,90,True
SHIP00077,2025-10-18,2025-11-01,2025-11-01,S001,P0096,SUP009,84,84,False
SHIP00078,2026-01-01,2026-01-05,2026-01-10,S001,P0098,SUP023,69,69,True
SHIP00079,2025-10-03,2025-10-24,2025-10-24,S001,P0099,SUP013,66,66,False
SHIP00080,2025-09-10,2025-09-24,2025-09-24,S001,P0100,SUP015,69,69,False
SHIP00081,2025-10-26,2025-11-06,2025-11-06,S001,P0102,SUP008,51,51,False
SHIP00082,2025-11-16,2025-11-20,2025-11-20,S001,P0104,SUP019,48,48,False
SHIP00083,2025-11-09,2025-11-13,2025-11-15,S001,P0105,SUP019,30,30,True
SHIP00084,2025-11-13,2025-12-03,2025-12-03,S001,P0106,SUP001,45,45,False
SHIP00085,2025-09-14,2025-09-18,2025-09-18,S001,P0107,SUP023,51,51,False
SHIP00086,2025-09-11,2025-09-22,2025-09-22,S001,P0108,SUP008,45,45,False
SHIP00087,2025-09-27,2025-10-17,2025-10-17,S001,P0110,SUP028,42,42,False
SHIP00088,2025-12-31,2026-01-15,2026-01-15,S001,P0114,SUP024,42,42,False
SHIP00089,2025-11-29,2025-12-10,2025-12-10,S001,P0115,SUP008,30,30,False
SHIP00090,2025-12-30,2026-01-15,2026-01-15,S001,P0117,SUP007,39,39,False
SHIP00091,2025-09-14,2025-09-23,2025-09-23,S001,P0118,SUP004,39,38,False
SHIP00092,2026-01-08,2026-01-25,2026-01-25,S001,P0120,SUP014,48,48,False
SHIP00093,2025-10-26,2025-11-15,2025-11-15,S001,P0121,SUP028,54,54,False
SHIP00094,2025-12-21,2026-01-04,2026-01-04,S001,P0122,SUP022,39,39,False
SHIP00095,2025-11-07,2025-11-24,2025-11-24,S001,P0125,SUP026,51,51,False
SHIP00096,2025-12-22,2026-01-07,2026-01-07,S001,P0127,SUP007,30,30,False
SHIP00097,2025-08-01,2025-08-21,2025-08-21,S001,P0128,SUP005,42,42,False
SHIP00098,2025-08-08,2025-08-28,2025-08-28,S001,P0129,SUP006,48,48,False
SHIP00099,2025-09-07,2025-09-27,2025-09-27,S001,P0131,SUP028,60,60,False
SHIP00100,2025-11-22,2025-12-06,2025-12-11,S001,P0132,SUP015,45,45,True
SHIP00101,2025-09-28,2025-10-11,2025-10-12,S001,P0133,SUP002,54,54,True
SHIP00102,2025-11-05,2025-11-23,2025-11-23,S001,P0134,SUP003,45,45,False
SHIP00103,2025-11-04,2025-11-24,2025-11-24,S001,P0135,SUP006,54,54,False
SHIP00104,2025-10-26,2025-11-11,2025-11-11,S001,P0137,SUP007,45,45,False
SHIP00105,2025-12-25,2026-01-10,2026-01-10,S001,P0138,SUP029,51,51,False
SHIP00106,2025-10-13,2025-11-02,2025-11-02,S001,P0139,SUP006,42,42,False
SHIP00107,2025-10-02,2025-10-22,2025-10-22,S001,P0140,SUP001,39,39,False
SHIP00108,2025-09-23,2025-10-07,2025-10-07,S001,P0141,SUP009,39,39,False
SHIP00109,2025-10-26,2025-11-06,2025-11-06,S001,P0142,SUP010,33,33,False
SHIP00110,2025-11-30,2025-12-04,2025-12-04,S001,P0143,SUP023,54,54,False
SHIP00111,2025-09-06,2025-09-17,2025-09-17,S001,P0145,SUP010,39,39,False
SHIP00112,2025-12-22,2026-01-04,2026-01-04,S001,P0146,SUP002,51,51,False
SHIP00113,2025-10-07,2025-10-22,2025-10-22,S001,P0147,SUP024,57,57,False
SHIP00114,2025-11-17,2025-11-30,2025-11-30,S001,P0148,SUP002,54,54,False
SHIP00115,2025-12-03,2025-12-07,2025-12-07,S001,P0149,SUP019,42,42,False
SHIP00116,2025-09-25,2025-10-10,2025-10-10,S001,P0150,SUP017,39,39,False
SHIP00117,2025-10-04,2025-10-17,2025-10-21,S001,P0151,SUP002,81,81,True
SHIP00118,2026-01-06,2026-01-19,2026-01-23,S001,P0151,SUP002,81,81,True
SHIP00119,2025-10-04,2025-10-24,2025-10-24,S001,P0152,SUP028,75,75,False
SHIP00120,2025-12-26,2026-01-15,2026-01-15,S001,P0152,SUP028,75,75,False
SHIP00121,2025-10-04,2025-10-22,2025-10-22,S001,P0153,SUP003,60,60,False
SHIP00122,2025-12-28,2026-01-15,2026-01-15,S001,P0153,SUP003,60,60,False
SHIP00123,2025-11-23,2025-12-07,2025-12-07,S001,P0154,SUP022,111,111,False
SHIP00124,2025-09-02,2025-09-23,2025-09-23,S001,P0155,SUP013,84,84,False
SHIP00125,2025-11-13,2025-12-04,2025-12-04,S001,P0155,SUP013,84,84,False
SHIP00126,2025-09-13,2025-09-29,2025-09-30,S001,P0156,SUP029,63,63,True
SHIP00127,2025-11-26,2025-12-12,2025-12-12,S001,P0156,SUP029,63,63,False
SHIP00128,2025-10-05,2025-10-23,2025-10-23,S001,P0158,SUP020,87,87,False
SHIP00129,2026-01-14,2026-02-01,2026-02-02,S001,P0158,SUP020,87,87,True
SHIP00130,2025-11-25,2025-12-12,2025-12-12,S001,P0159,SUP014,72,72,False
SHIP00131,2025-10-15,2025-10-29,2025-10-29,S001,P0160,SUP030,105,105,False
SHIP00132,2025-09-14,2025-09-30,2025-09-30,S001,P0161,SUP007,60,60,False
SHIP00133,2025-11-02,2025-11-18,2025-11-18,S001,P0161,SUP007,60,60,False
SHIP00134,2026-01-11,2026-01-27,2026-01-27,S001,P0161,SUP007,60,60,False
SHIP00135,2025-10-13,2025-10-24,2025-10-24,S001,P0162,SUP008,87,87,False
SHIP00136,2026-01-14,2026-01-25,2026-01-25,S001,P0162,SUP008,87,87,False
SHIP00137,2025-09-28,2025-10-19,2025-10-26,S001,P0163,SUP013,105,105,True
SHIP00138,2025-10-06,2025-10-20,2025-10-21,S001,P0164,SUP022,90,90,True
SHIP00139,2025-09-29,2025-10-13,2025-10-13,S001,P0165,SUP015,63,63,False
SHIP00140,2025-08-20,2025-09-03,2025-09-03,S001,P0166,SUP030,105,105,False
SHIP00141,2026-01-05,2026-01-19,2026-01-19,S001,P0166,SUP030,105,105,False
SHIP00142,2025-09-16,2025-10-06,2025-10-06,S001,P0167,SUP001,66,66,False
SHIP00143,2025-11-30,2025-12-20,2025-12-20,S001,P0167,SUP001,66,66,False
SHIP00144,2025-09-19,2025-10-07,2025-10-07,S001,P0168,SUP020,105,105,False
SHIP00145,2025-07-22,2025-08-09,2025-08-09,S001,P0169,SUP003,114,114,False
SHIP00146,2026-01-11,2026-01-29,2026-01-29,S001,P0169,SUP003,114,114,False
SHIP00147,2025-11-21,2025-12-06,2025-12-06,S001,P0170,SUP017,63,63,False
SHIP00148,2025-09-11,2025-10-01,2025-10-01,S001,P0171,SUP005,72,72,False
SHIP00149,2025-12-11,2025-12-31,2025-12-31,S001,P0171,SUP005,72,72,False
