store_id,store_name,region,store_type,sq_footage,opened_date
S001,Glasgow Standard,North,Standard,19052,2018-10-31
S002,Birmingham Flagship,West,Flagship,40101,2020-01-17
S003,Leeds Standard,North,Standard,21174,2019-05-27
S004,Edinburgh Standard,North,Standard,24485,2022-11-27
S005,Manchester Outlet,West,Outlet,6939,2022-11-06
S006,Newcastle Flagship,South,Flagship,30812,2019-01-03
S007,Leeds Standard,East,Standard,14371,2018-11-23
S008,Birmingham Standard,North,Standard,24067,2020-08-21
S009,Sheffield Flagship,South,Flagship,41457,2019-09-18
S010,Birmingham Flagship,South,Flagship,36328,2020-03-27
S011,London Standard,East,Standard,22670,2019-07-26
S012,Edinburgh Outlet,East,Outlet,8274,2021-10-23
S013,London Flagship,East,Flagship,38559,2019-01-01
S014,London Flagship,East,Flagship,49548,2020-06-08
S015,Bristol Outlet,East,Outlet,8574,2021-05-26
S016,Glasgow Standard,North,Standard,13114,2019-06-06
S017,Newcastle Outlet,North,Outlet,5013,2020-11-30
S018,Newcastle Standard,South,Standard,11146,2021-09-22
S019,Bristol Outlet,East,Outlet,10434,2022-10-03
S020,Liverpool Outlet,North,Outlet,9154,2019-09-26
