supplier_id,supplier_name,lead_time_days,on_time_rate,country
SUP001,Supplier 1 Ltd,20,0.859,India
SUP002,Supplier 2 Ltd,13,0.504,Germany
SUP003,Supplier 3 Ltd,18,0.817,India
SUP004,Supplier 4 Ltd,9,0.911,Italy
SUP005,Supplier 5 Ltd,20,0.932,China
SUP006,Supplier 6 Ltd,20,0.906,India
SUP007,Supplier 7 Ltd,16,0.812,India
SUP008,Supplier 8 Ltd,11,0.91,Italy
SUP009,Supplier 9 Ltd,14,0.782,USA
SUP010,Supplier 10 Ltd,11,0.96,Germany
SUP011,Supplier 11 Ltd,20,0.907,China
SUP012,Supplier 12 Ltd,12,0.787,Italy
SUP013,Supplier 13 Ltd,21,0.802,USA
SUP014,Supplier 14 Ltd,17,0.841,USA
SUP015,Supplier 15 Ltd,14,0.847,Italy
SUP016,Supplier 16 Ltd,16,0.913,India
SUP017,Supplier 17 Ltd,15,0.966,India
SUP018,Supplier 18 Ltd,12,0.748,Germany
SUP019,Supplier 19 Ltd,4,0.804,UK
SUP020,Supplier 20 Ltd,18,0.701,India
SUP021,Supplier 21 Ltd,17,0.716,China
SUP022,Supplier 22 Ltd,14,0.831,China
SUP023,Supplier 23 Ltd,4,0.764,UK
SUP024,Supplier 24 Ltd,15,0.774,USA
SUP025,Supplier 25 Ltd,20,0.772,USA
SUP026,Supplier 26 Ltd,17,0.747,India
SUP027,Supplier 27 Ltd,20,0.682,India
SUP028,Supplier 28 Ltd,20,0.975,USA
SUP029,Supplier 29 Ltd,16,0.755,China
SUP030,Supplier 30 Ltd,14,0.817,India
